campaign,url,timestamp,contentRelevance,timeRelevance,vote,comment
"sarrazin","http://www.zeit.de:80/wissen/2011-04/leserartikel-intelligenz-sarrazin?commentstart=1",2011-07-03T14:57:41,0.129611,0.428622,HighlyRelevant,""
"sarrazin","http://www.zeit.de:80/politik/deutschland/2010-09/roettgen-laschet-muenster?page=all&print=true",2010-09-07T22:08:04,0.128200,1.000000,NotRelevant,""
"sarrazin","http://www.slackpro.de:80/shop/product_info.php?products_id=23",2011-07-16T07:38:54,0.021790,1.000000,NotRelevant,""
"sarrazin","http://www.theeuropean.de/debatte/3724-praeimplantationsdiagnostik",2012-05-28T21:07:54,0.099247,0.236879,NotRelevant,""
"sarrazin","http://www.welt.de:80/politik/deutschland/article9511590/Sarrazin-gibt-als-Bundesbankvorstand-auf.html",2010-09-12T23:13:58,0.148427,1.000000,HighlyRelevant,""
"sarrazin","http://vampires-lounge.de:80/seite21.htm",2005-02-24T09:11:11,0.091108,0.000000,NotRelevant,""
"sarrazin","http://www.presseportal.de/pm/55903/westdeutsche-allgemeine-zeitung/_gat._anonymizeIp",2013-05-19T10:44:58,0.058094,0.001309,NotRelevant,""
"sarrazin","http://www.zeit.de/2010/35/Sarrazin?commentstart=25",2012-03-25T11:20:31,0.159123,1.000000,HighlyRelevant,""
"sarrazin","http://www.coding-board.de:80/board/index.php",2006-12-10T19:37:12,0.021209,0.000000,NotRelevant,""
"sarrazin","http://www.motorbuch-versand.de:80/Thema_Hist.%20Reiseberichte/95?abo=&datsatz=0&bestnr=0&suchstring=&id=xw9999Z7D20070911143255&lk=",2007-09-21T16:22:36,0.040189,0.000000,NotRelevant,""
"sarrazin","http://www.taz.de:80/1/leben/film/artikel/1/tanzende-faust/",2008-09-04T09:06:32,0.057778,0.000000,NotRelevant,""
"sarrazin","http://www.deutsches-reich.de:80/hm/texte/dsinterview.html",2001-06-29T11:20:31,0.104539,0.000000,NotRelevant,""
"sarrazin","http://www.dooyoo.de:80/bars-cafes-kneipen-national/paulaner-2/1420700/",2012-07-21T04:28:33,0.035070,0.012665,NotRelevant,""
"sarrazin","http://nachrichten.t-online.de:80/sarrazin-setzt-wulff-unter-druck/id_42748760/index",2010-09-06T19:20:48,0.122286,1.000000,HighlyRelevant,""
"sarrazin","http://www.welt.de:80/politik/deutschland/article6618182/Buschkowsky-wirft-Sarrazin-Rassismus-vor.html",2010-08-29T03:28:26,0.134491,1.000000,HighlyRelevant,""
"sarrazin","http://www.referate-theologie.de:80/informationen/buergertum.htm",2005-02-01T07:07:23,0.078526,0.000000,Junk,""
"sarrazin","http://oettinger.senyo.de:80/Pfalz",2006-03-05T15:07:27,0.055167,0.000000,NotRelevant,""
"sarrazin","http://www.zeit.de:80/gesellschaft/2012-05/leserartikel-rassismus-russlanddeutsche?",2012-10-05T07:21:25,0.102965,0.019535,NotRelevant,""
"sarrazin","http://www.welt.de:80/data/2004/12/17/375893.html",2005-08-30T23:38:38,0.043171,0.000000,NotRelevant,""
"sarrazin","http://www.google.de:80/ie?hl=de&lr=&ie=UTF-8&output=search&q=related:www.ca-ass-sportur.net/webcam/",2004-09-10T10:28:40,0.010414,0.000000,Unknown,""
"sarrazin","http://www.gebrauchtwagen-neuwagen-kaufen.de:80/information-794068.html",2007-01-10T06:39:31,0.074007,0.000000,Junk,""
"sarrazin","http://www.zeit.de:80/politik/deutschland/2010-08/Sarrazin-spd-ausschluss",2011-01-13T18:41:13,0.136965,1.000000,HighlyRelevant,""
"sarrazin","http://www.studentjob.de:80/stellenangebot/10448/Jobs-in-der-Sonne-Italiens-wir-suchen-Teamer",2012-02-03T15:59:39,0.012666,0.015625,NotRelevant,""
"sarrazin","http://www.cdu-biebertal.de:80/aktuell.htm",2004-02-21T13:16:26,0.100684,0.000000,NotRelevant,""
"sarrazin","http://sso.welt.de:80/sso/?platformId=welt&redirect=http://www.welt.de/politik/article1207012/Ein_Staat_ist_doch_kein_Schokoriegel.html",2010-03-16T19:25:34,0.055564,1.000000,NotRelevant,""
"sarrazin","http://www.heute.t-online.de:80/ZDFheute/artikel_drucken/0,1381,2111061,00.html",2004-06-28T04:40:41,0.066739,0.000000,NotRelevant,""
"sarrazin","http://www.heute.t-online.de:80/ZDFheute/artikel_drucken/0,1381,2111061,00.html",2004-06-28T04:40:41,0.066739,0.000000,NotRelevant,""
"sarrazin","http://kurzmeldungen.de:80/guestbook.html",2006-02-12T00:58:45,0.085321,0.000000,NotRelevant,""
